Original Blend Name,Blend Number,PC,GPP,SC,CC,FA,VA,GBA,FBC,QUARTZ,PLC,Cumulative Heat (J/g),
30% PC + 50% GPP + 20% FBC,43,30,50,0,0,0,0,0,20,0,0,167.01,
80% PC + 20% QUARTZ,44,80,0,0,0,0,0,0,0,20,0,295.44,
70% PC + 30% QUARTZ,45,70,0,0,0,0,0,0,0,30,0,275.55,
60% PC + 40% QUARTZ,46,60,0,0,0,0,0,0,0,40,0,256.01,
50% PC + 50% QUARTZ,47,50,0,0,0,0,0,0,0,50,0,224.65,
40% PC + 60% QUARTZ,48,40,0,0,0,0,0,0,0,60,0,180.19,
30% PC + 70% QUARTZ,49,30,0,0,0,0,0,0,0,70,0,145.39,
100% PLC,50,0,0,0,0,0,0,0,0,0,100,303.15,
90% PLC + 10% GPP,51,0,10,0,0,0,0,0,0,0,90,277.09,
80% PLC + 20% GPP,52,0,20,0,0,0,0,0,0,0,80,279.7,
70% PLC + 30% GPP,53,0,30,0,0,0,0,0,0,0,70,251.61,
60% PLC + 40% GPP,54,0,40,0,0,0,0,0,0,0,60,217.47,
50% PLC + 50% GPP,55,0,50,0,0,0,0,0,0,0,50,205.29,
40% PLC + 40% GPP + 20% SC,56,0,40,20,0,0,0,0,0,0,40,213.76,
50% PLC + 40% GPP + 10% SC,57,0,40,10,0,0,0,0,0,0,50,226.73,
30% PLC + 50% GPP + 20% SC,58,0,50,20,0,0,0,0,0,0,30,172.69,
30% PLC + 30% GPP + 40% SC,59,0,30,40,0,0,0,0,0,0,30,208.62,
30% PLC + 20% GPP + 50% SC,60,0,20,50,0,0,0,0,0,0,30,209.87,
30% PLC + 10% GPP + 60% SC,61,0,10,60,0,0,0,0,0,0,30,214.36,
30% PLC + 20% GPP + 50% FA,62,0,20,0,0,50,0,0,0,0,30,200.71,
30% PLC + 50% GPP + 20% FA,63,0,50,0,0,20,0,0,0,0,30,171.45,
30% PLC + 40% GPP + 30% FA,64,0,40,0,0,30,0,0,0,0,30,171.81,
30% PLC + 30% GPP + 40% FA,65,0,30,0,0,40,0,0,0,0,30,183.75,
50% PLC + 40% GPP + 10% VA,66,0,40,0,0,0,10,0,0,0,50,218.85,
40% PLC + 40% GPP + 20% VA,67,0,40,0,0,0,20,0,0,0,40,192.98,
30% PLC + 10% GPP + 60% VA,68,0,10,0,0,0,60,0,0,0,30,159.34,
30% PLC + 20% GPP + 50% VA,69,0,20,0,0,0,50,0,0,0,30,156.32,
30% PLC + 30% GPP + 40% VA,70,0,30,0,0,0,40,0,0,0,30,146.46,
30% PLC + 50% GPP + 20% VA,71,0,50,0,0,0,20,0,0,0,30,155.75,
50% PLC + 40% GPP + 10% GBA,72,0,40,0,0,0,0,10,0,0,50,223.43,
40% PLC + 40% GPP + 20% GBA,73,0,40,0,0,0,0,20,0,0,40,189.47,
30% PLC + 10% GPP + 60% GBA,74,0,10,0,0,0,0,60,0,0,30,159.32,
30% PLC + 20% GPP + 50% GBA,75,0,20,0,0,0,0,50,0,0,30,153.43,
30% PLC + 30% GPP + 40% GBA,76,0,30,0,0,0,0,40,0,0,30,147.33,
30% PLC + 50% GPP + 20% GBA,77,0,50,0,0,0,0,20,0,0,30,156.75,
50% PLC + 40% GPP + 10% FBC,78,0,40,0,0,0,0,0,10,0,50,219.27,
40% PLC + 40% GPP + 20% FBC,79,0,40,0,0,0,0,0,20,0,40,188.79,
30% PLC + 10% GPP + 60% FBC,80,0,10,0,0,0,0,0,60,0,30,162.92,
30% PLC + 20% GPP + 50% FBC,81,0,20,0,0,0,0,0,50,0,30,154.77,
30% PLC + 30% GPP + 40% FBC,82,0,30,0,0,0,0,0,40,0,30,150.44,
30% PLC + 50% GPP + 20% FBC,83,0,50,0,0,0,0,0,20,0,30,157.05,
30% PLC + 50% GPP + 20% CC,84,0,50,0,20,0,0,0,0,0,30,159.07,
30% PLC + 40% GPP + 30% CC,85,0,40,0,30,0,0,0,0,0,30,163.78,
30% PLC + 30% GPP + 40% CC,86,0,30,0,40,0,0,0,0,0,30,164.96,
90% PLC + 10% QUARTZ,87,0,0,0,0,0,0,0,0,10,90,297.95,
80% PLC + 20% QUARTZ,88,0,0,0,0,0,0,0,0,20,80,281.86,
70% PLC + 30% QUARTZ,89,0,0,0,0,0,0,0,0,30,70,264.26,
60% PLC + 40% QUARTZ,90,0,0,0,0,0,0,0,0,40,60,237.75,
50% PLC + 50% QUARTZ,91,0,0,0,0,0,0,0,0,50,50,200.71,
